region,year,sex,age_group,population
West Midlands,2028,female,50-54,175234
West Midlands,2029,female,50-54,177315
West Midlands,2030,female,50-54,182662
West Midlands,2031,female,50-54,187516
West Midlands,2032,female,50-54,193440
West Midlands,2033,female,50-54,199651
West Midlands,2034,female,50-54,202568
West Midlands,2035,female,50-54,204524
West Midlands,2036,female,50-54,207524
West Midlands,2037,female,50-54,211882
West Midlands,2038,female,50-54,216086
West Midlands,2039,female,50-54,220224
West Midlands,2040,female,50-54,223510
West Midlands,2041,female,50-54,226943
West Midlands,2042,female,50-54,228570
West Midlands,2043,female,50-54,228536
West Midlands,2044,female,50-54,228972
West Midlands,2045,female,50-54,227881
West Midlands,2046,female,50-54,226130
West Midlands,2047,female,50-54,225573
West Midlands,2022,female,55-59,203038
West Midlands,2023,female,55-59,204785
West Midlands,2024,female,55-59,205620
West Midlands,2025,female,55-59,204671
West Midlands,2026,female,55-59,204646
West Midlands,2027,female,55-59,202661
West Midlands,2028,female,55-59,198999
West Midlands,2029,female,55-59,193394
West Midlands,2030,female,55-59,187706
West Midlands,2031,female,55-59,181285
West Midlands,2032,female,55-59,175944
West Midlands,2033,female,55-59,173033
West Midlands,2034,female,55-59,175137
West Midlands,2035,female,55-59,180387
West Midlands,2036,female,55-59,185213
West Midlands,2037,female,55-59,191022
West Midlands,2038,female,55-59,197093
West Midlands,2039,female,55-59,199950
West Midlands,2040,female,55-59,201907
West Midlands,2041,female,55-59,204852
West Midlands,2042,female,55-59,209135
West Midlands,2043,female,55-59,213296
West Midlands,2044,female,55-59,217363
West Midlands,2045,female,55-59,220598
West Midlands,2046,female,55-59,223973
West Midlands,2047,female,55-59,225603
