Organisation_Code,Specialty,Number_Of_Beds,Effective_Snapshot_Date
RK5,325,0,30/06/2017
RKB,325,0,30/06/2017
RL1,325,0,30/06/2017
RL4,325,0,30/06/2017
RLQ,325,0,30/06/2017
RLT,325,0,30/06/2017
RLY,325,0,30/06/2017
RM1,325,0,30/06/2017
RMY,325,0,30/06/2017
RNA,325,0,30/06/2017
RNQ,325,0,30/06/2017
RNS,325,0,30/06/2017
RP1,325,0,30/06/2017
RP7,325,0,30/06/2017
RQ3,325,0,30/06/2017
RQ8,325,0,30/06/2017
RQW,325,0,30/06/2017
RGN,712,0,30/06/2017
RGP,712,0,30/06/2017
RGQ,712,0,30/06/2017
RGR,712,0,30/06/2017
RGT,712,0,30/06/2017
RHA,712,0,30/06/2017
RJC,712,0,30/06/2017
RJE,712,0,30/06/2017
RJF,712,0,30/06/2017
RK5,712,0,30/06/2017
RKB,712,0,30/06/2017
RL1,712,0,30/06/2017
RL4,712,0,30/06/2017
RLQ,712,0,30/06/2017
RLT,712,0,30/06/2017
RLY,712,0,30/06/2017
RM1,712,0,30/06/2017
RMY,712,0,30/06/2017
RNA,712,0,30/06/2017
RNQ,712,0,30/06/2017
RNS,712,0,30/06/2017
RP1,712,0,30/06/2017
RP7,712,0,30/06/2017
RQ3,712,0,30/06/2017
RQ8,712,0,30/06/2017
RQW,712,0,30/06/2017
RR1,712,0,30/06/2017
RRE,712,0,30/06/2017
RRJ,712,0,30/06/2017
RRK,712,0,30/06/2017
RT1,712,0,30/06/2017
RTG,712,0,30/06/2017
RWD,712,0,30/06/2017
RWE,712,0,30/06/2017
RWG,712,0,30/06/2017
RWH,712,0,30/06/2017
RWP,712,0,30/06/2017
RX1,712,0,30/06/2017
RXK,712,0,30/06/2017
RXM,712,0,30/06/2017
RXT,712,0,30/06/2017
RXW,712,0,30/06/2017
RY3,712,0,30/06/2017
RY5,712,0,30/06/2017
RY8,712,0,30/06/2017
RYG,712,0,30/06/2017
RYK,712,0,30/06/2017
RYV,712,0,30/06/2017
RYW,712,0,30/06/2017
TAJ,712,0,30/06/2017
R1H,712,0,30/06/2017
R1K,712,0,30/06/2017
RAL,712,0,30/06/2017
RAN,712,0,30/06/2017
RAP,712,0,30/06/2017
RAS,712,0,30/06/2017
RAT,712,0,30/06/2017
RAX,712,0,30/06/2017
RF4,712,0,30/06/2017
RJ1,712,0,30/06/2017
RJ2,712,0,30/06/2017
RJ6,712,0,30/06/2017
RJ7,712,0,30/06/2017
RJZ,712,0,30/06/2017
RKE,712,0,30/06/2017
RKL,712,0,30/06/2017
RP4,712,0,30/06/2017
RP6,712,0,30/06/2017
RPG,712,0,30/06/2017
RPY,712,0,30/06/2017
RQM,712,0,30/06/2017
RQX,712,0,30/06/2017
RQY,712,0,30/06/2017
RRP,712,0,30/06/2017
RRV,712,0,30/06/2017
RT3,712,0,30/06/2017
RV3,712,0,30/06/2017
RVR,712,0,30/06/2017
RWK,712,0,30/06/2017
RYJ,712,0,30/06/2017
RYX,712,0,30/06/2017
TAF,712,0,30/06/2017
R1C,712,0,30/06/2017
R1F,712,0,30/06/2017
R1J,712,0,30/06/2017
RA2,712,0,30/06/2017
RA3,712,0,30/06/2017
RA4,712,0,30/06/2017
RA7,712,0,30/06/2017
RA9,712,0,30/06/2017
RBA,712,0,30/06/2017
RBD,712,0,30/06/2017
RBZ,712,0,30/06/2017
RD1,712,0,30/06/2017
RD3,712,0,30/06/2017
RDR,712,0,30/06/2017
RDU,712,0,30/06/2017
RDY,712,0,30/06/2017
RDZ,712,0,30/06/2017
REF,712,0,30/06/2017
RH5,712,0,30/06/2017
RH8,712,0,30/06/2017
RVN,712,0,30/06/2017
RHM,712,0,30/06/2017
RHU,712,0,30/06/2017
RHW,712,0,30/06/2017
RJ8,712,0,30/06/2017
RK9,712,0,30/06/2017
RN3,712,0,30/06/2017
RN5,712,0,30/06/2017
RN7,712,0,30/06/2017
RNU,712,0,30/06/2017
RMC,504,0,30/06/2017
RMP,504,0,30/06/2017
RNL,504,0,30/06/2017
RNN,504,0,30/06/2017
RP5,504,0,30/06/2017
RQ6,504,0,30/06/2017
RR7,504,0,30/06/2017
RR8,504,0,30/06/2017
RRF,504,0,30/06/2017
RT2,504,0,30/06/2017
RTD,504,0,30/06/2017
RTF,504,0,30/06/2017
RTR,504,0,30/06/2017
RTV,504,0,30/06/2017
RTX,504,0,30/06/2017
RV9,504,0,30/06/2017
RVW,504,0,30/06/2017
RVY,504,0,30/06/2017
RW3,504,0,30/06/2017
RW4,504,0,30/06/2017
RW5,504,0,30/06/2017
RW6,504,0,30/06/2017
RWA,504,0,30/06/2017
RWJ,504,0,30/06/2017
RWW,504,0,30/06/2017
RWY,504,0,30/06/2017
RX3,504,0,30/06/2017
RX4,504,0,30/06/2017
RXA,504,0,30/06/2017
RXE,504,0,30/06/2017
RXF,504,0,30/06/2017
RXG,504,0,30/06/2017
RXL,504,0,30/06/2017
RXN,504,0,30/06/2017
RXP,504,0,30/06/2017
RXR,504,0,30/06/2017
RY6,504,0,30/06/2017
TAD,504,0,30/06/2017
TAH,504,0,30/06/2017
R1A,504,0,30/06/2017
R1E,504,0,30/06/2017
R1L,504,0,30/06/2017
RAJ,504,0,30/06/2017
RBK,504,0,30/06/2017
RC1,504,0,30/06/2017
RC9,504,0,30/06/2017
RCX,504,0,30/06/2017
RD8,504,0,30/06/2017
RDD,504,0,30/06/2017
RDE,504,0,30/06/2017
RFS,504,0,30/06/2017
RGM,504,0,30/06/2017
RGN,504,0,30/06/2017
RGP,504,0,30/06/2017
RGQ,504,0,30/06/2017
RGR,504,0,30/06/2017
RGT,504,0,30/06/2017
RHA,504,0,30/06/2017
RJC,504,0,30/06/2017
RJE,504,0,30/06/2017
RJF,504,0,30/06/2017
RK5,504,0,30/06/2017
RKB,504,0,30/06/2017
RL1,504,0,30/06/2017
RL4,504,0,30/06/2017
RLQ,504,0,30/06/2017
RLT,504,0,30/06/2017
RLY,504,0,30/06/2017
RM1,504,0,30/06/2017
RMY,504,0,30/06/2017
RNA,504,0,30/06/2017
RNQ,504,0,30/06/2017
RNS,504,0,30/06/2017
RP1,504,0,30/06/2017
RP7,504,0,30/06/2017
RQ3,504,0,30/06/2017
RQ8,504,0,30/06/2017
RQW,504,0,30/06/2017
RR1,504,0,30/06/2017
RRE,504,0,30/06/2017
RRJ,504,0,30/06/2017
RRK,504,0,30/06/2017
RT1,504,0,30/06/2017
RTG,504,0,30/06/2017
RWD,504,0,30/06/2017
RWE,504,0,30/06/2017
RWG,504,0,30/06/2017
RWH,504,0,30/06/2017
RWP,504,0,30/06/2017
RX1,504,0,30/06/2017
RXK,504,0,30/06/2017
RXM,504,0,30/06/2017
RXT,504,0,30/06/2017
RXW,504,0,30/06/2017
RY3,504,0,30/06/2017
RY5,504,0,30/06/2017
RY8,504,0,30/06/2017
RYG,504,0,30/06/2017
RYK,504,0,30/06/2017
RYV,504,0,30/06/2017
RYW,504,0,30/06/2017
TAJ,504,0,30/06/2017
R1H,504,0,30/06/2017
R1K,504,0,30/06/2017
RAL,504,0,30/06/2017
RAN,504,0,30/06/2017
RAP,504,0,30/06/2017
RAS,504,0,30/06/2017
RAT,504,0,30/06/2017
RAX,504,0,30/06/2017
RF4,504,0,30/06/2017
RJ1,504,0,30/06/2017
RTV,420,0,30/06/2017
RTX,420,0.186813,30/06/2017
RV9,420,0,30/06/2017
RVW,420,7.208791,30/06/2017
RVY,420,0.010989,30/06/2017
RW3,420,3.263736,30/06/2017
RW4,420,0,30/06/2017
RW5,420,0,30/06/2017
RW6,420,11.846154,30/06/2017
RWA,420,1.241758,30/06/2017
RWJ,420,0.186813,30/06/2017
RWW,420,4.692308,30/06/2017
RWY,420,0.021978,30/06/2017
RX3,420,0,30/06/2017
RX4,420,0,30/06/2017
RXA,420,0,30/06/2017
RXE,420,0,30/06/2017
RXF,420,5.164835,30/06/2017
RXG,420,0,30/06/2017
RXL,420,0.362637,30/06/2017
RXN,420,0.868132,30/06/2017
RXP,420,0.703297,30/06/2017
RXR,420,1.285714,30/06/2017
RY6,420,0,30/06/2017
TAD,420,0,30/06/2017
TAH,420,0,30/06/2017
R1A,420,0,30/06/2017
R1E,420,0,30/06/2017
R1L,420,0,30/06/2017
RAJ,420,0,30/06/2017
RBK,420,0,30/06/2017
RC1,420,0,30/06/2017
RC9,420,2.56044,30/06/2017
RCX,420,4.21978,30/06/2017
RD8,420,0.054945,30/06/2017
RDD,420,0.318681,30/06/2017
RDE,420,1.186813,30/06/2017
RFS,420,0,30/06/2017
RGM,420,0,30/06/2017
RGN,420,0,30/06/2017
RGP,420,0,30/06/2017
RGQ,420,0.010989,30/06/2017
RGR,420,0,30/06/2017
RGT,420,4.835165,30/06/2017
RHA,420,0,30/06/2017
RJC,420,0,30/06/2017
RJE,420,2.868132,30/06/2017
RJF,420,0,30/06/2017
RK5,420,0,30/06/2017
RKB,420,0.637363,30/06/2017
RL1,420,0,30/06/2017
RL4,420,0,30/06/2017
RLQ,420,0,30/06/2017
RLT,420,0,30/06/2017
RLY,420,0,30/06/2017
RM1,420,0.43956,30/06/2017
RMY,420,0,30/06/2017
RNA,420,0.483516,30/06/2017
RNQ,420,1.230769,30/06/2017
RNS,420,2.285714,30/06/2017
RP1,420,0,30/06/2017
RP7,420,0,30/06/2017
RQ3,420,2.186813,30/06/2017
RQ8,420,0.032967,30/06/2017
RQW,420,0,30/06/2017
RR1,420,0,30/06/2017
RRE,420,0,30/06/2017
RRJ,420,0,30/06/2017
RRK,420,0,30/06/2017
RT1,420,0,30/06/2017
RTG,420,3.395604,30/06/2017
RWD,420,4.175824,30/06/2017
RWE,420,4.571429,30/06/2017
RWG,420,2.362637,30/06/2017
RWH,420,12.681319,30/06/2017
RWP,420,0,30/06/2017
RX1,420,11.285714,30/06/2017
RXK,420,2.021978,30/06/2017
RXM,420,0,30/06/2017
RXT,420,0,30/06/2017
RXW,420,0,30/06/2017
RY3,420,0,30/06/2017
RY5,420,0,30/06/2017
RY8,420,0,30/06/2017
RYG,420,0,30/06/2017
RYK,420,0,30/06/2017
RYV,420,0,30/06/2017
RYW,420,0,30/06/2017
TAJ,420,0,30/06/2017
R1H,420,5.659341,30/06/2017
R1K,420,4.934066,30/06/2017
RAL,420,0.78022,30/06/2017
RAN,420,0,30/06/2017
RAP,420,8.362637,30/06/2017
RAS,420,0.901099,30/06/2017
RAT,420,0,30/06/2017
RAX,420,11.142857,30/06/2017
RF4,420,1.351648,30/06/2017
RJ1,420,8.593407,30/06/2017
RJ2,420,4.703297,30/06/2017
RJ6,420,0.912088,30/06/2017
RJ7,420,5.505495,30/06/2017
RJZ,420,7.78022,30/06/2017
RKE,420,3.065934,30/06/2017
RKL,420,0,30/06/2017
RP4,420,1.791209,30/06/2017
RP6,420,0,30/06/2017
RPG,420,0,30/06/2017
RPY,420,8.230769,30/06/2017
RQM,420,4.373626,30/06/2017
RQX,420,0,30/06/2017
RQY,420,0,30/06/2017
RXG,301,0,30/06/2017
RXL,301,4.285714,30/06/2017
RXN,301,4.142857,30/06/2017
RXP,301,1.868132,30/06/2017
RXR,301,44.186813,30/06/2017
RY6,301,0,30/06/2017
TAD,301,0,30/06/2017
TAH,301,0,30/06/2017
R1A,301,0,30/06/2017
R1E,301,0,30/06/2017
R1L,301,0,30/06/2017
RAJ,301,0.131868,30/06/2017
RBK,301,0.428571,30/06/2017
RC1,301,1.10989,30/06/2017
RC9,301,4.076923,30/06/2017
RCX,301,0.010989,30/06/2017
RD8,301,5.89011,30/06/2017
RDD,301,14.054945,30/06/2017
RDE,301,10.373626,30/06/2017
RFS,301,0,30/06/2017
RGM,301,0,30/06/2017
RGN,301,10.032967,30/06/2017
RGP,301,0,30/06/2017
RGQ,301,4.769231,30/06/2017
RGR,301,0,30/06/2017
RGT,301,9.505495,30/06/2017
RHA,301,0,30/06/2017
RJC,301,22.868132,30/06/2017
RJE,301,34.945055,30/06/2017
RJF,301,0,30/06/2017
RK5,301,6.857143,30/06/2017
RKB,301,1.813187,30/06/2017
RL1,301,0,30/06/2017
RL4,301,0,30/06/2017
RLQ,301,0.010989,30/06/2017
RLT,301,0.021978,30/06/2017
RLY,301,0,30/06/2017
RM1,301,26.505495,30/06/2017
RMY,301,0,30/06/2017
RNA,301,0,30/06/2017
RNQ,301,6.758242,30/06/2017
RNS,301,0,30/06/2017
RP1,301,0,30/06/2017
RP7,301,0,30/06/2017
RQ3,301,2.802198,30/06/2017
RQ8,301,0.582418,30/06/2017
RQW,301,0,30/06/2017
RR1,301,0,30/06/2017
RRE,301,0,30/06/2017
RRJ,301,0,30/06/2017
RRK,301,2.307692,30/06/2017
RT1,301,0,30/06/2017
RTG,301,3.472527,30/06/2017
RWD,301,13.604396,30/06/2017
RWE,301,10.274725,30/06/2017
RWG,301,16.571429,30/06/2017
RWH,301,2.296703,30/06/2017
RWP,301,0.010989,30/06/2017
RX1,301,10.626374,30/06/2017
RXK,301,0.912088,30/06/2017
RXM,301,0,30/06/2017
RXT,301,0,30/06/2017
RXW,301,0.175824,30/06/2017
RY3,301,0,30/06/2017
RY5,301,0,30/06/2017
RY8,301,0,30/06/2017
RYG,301,0,30/06/2017
RYK,301,0,30/06/2017
RYV,301,0,30/06/2017
RYW,301,0,30/06/2017
TAJ,301,0,30/06/2017
R1H,301,33.912088,30/06/2017
R1K,301,56.725275,30/06/2017
RAL,301,21.186813,30/06/2017
RAN,301,0,30/06/2017
RAP,301,0,30/06/2017
RAS,301,19.912088,30/06/2017
RAT,301,0,30/06/2017
RAX,301,10.846154,30/06/2017
RF4,301,13.934066,30/06/2017
RJ1,301,11.032967,30/06/2017
RJ2,301,16.758242,30/06/2017
RJ6,301,5.043956,30/06/2017
RJ7,301,0,30/06/2017
RJZ,301,18.593407,30/06/2017
RKE,301,18.296703,30/06/2017
RKL,301,0,30/06/2017
RP4,301,2.505495,30/06/2017
RP6,301,0,30/06/2017
RPG,301,0,30/06/2017
RPY,301,0,30/06/2017
RQM,301,21.285714,30/06/2017
RQX,301,0,30/06/2017
RQY,301,0,30/06/2017
RRP,301,0,30/06/2017
RRV,301,15.868132,30/06/2017
RT3,301,0,30/06/2017
RV3,301,0,30/06/2017
RVR,301,0,30/06/2017
RWK,301,0,30/06/2017
RYJ,301,26.516484,30/06/2017
RYX,301,0,30/06/2017
TAF,301,0,30/06/2017
R1C,301,0,30/06/2017
R1F,301,0.010989,30/06/2017
R1J,301,0,30/06/2017
RA2,301,1.32967,30/06/2017
RWG,145,0,30/06/2017
RWH,145,0,30/06/2017
RWP,145,0,30/06/2017
RX1,145,0,30/06/2017
RXK,145,0,30/06/2017
RXM,145,0,30/06/2017
RXT,145,0,30/06/2017
RXW,145,0.659341,30/06/2017
RY3,145,0,30/06/2017
RY5,145,0,30/06/2017
RY8,145,0,30/06/2017
RYG,145,0,30/06/2017
RYK,145,0,30/06/2017
RYV,145,0,30/06/2017
RYW,145,0,30/06/2017
TAJ,145,0,30/06/2017
R1H,145,3.747253,30/06/2017
R1K,145,2.912088,30/06/2017
RAL,145,5.538462,30/06/2017
RAN,145,0,30/06/2017
RAP,145,0,30/06/2017
RAS,145,0,30/06/2017
RAT,145,0,30/06/2017
RAX,145,0,30/06/2017
RF4,145,1.802198,30/06/2017
RJ1,145,0,30/06/2017
RJ2,145,0,30/06/2017
RJ6,145,3.901099,30/06/2017
RJ7,145,0.868132,30/06/2017
RJZ,145,3.428571,30/06/2017
RKE,145,0,30/06/2017
RKL,145,0,30/06/2017
RP4,145,0,30/06/2017
RP6,145,0,30/06/2017
RPG,145,0,30/06/2017
RPY,145,0,30/06/2017
RQM,145,0,30/06/2017
RQX,145,0.054945,30/06/2017
RQY,145,0,30/06/2017
RRP,145,0,30/06/2017
RRV,145,0,30/06/2017
RT3,145,0,30/06/2017
RV3,145,0,30/06/2017
RVR,145,0,30/06/2017
RWK,145,0,30/06/2017
RYJ,145,0,30/06/2017
RYX,145,0,30/06/2017
TAF,145,0,30/06/2017
R1C,145,0,30/06/2017
R1F,145,0.450549,30/06/2017
R1J,145,0,30/06/2017
RA2,145,0.197802,30/06/2017
RA3,145,0,30/06/2017
RA4,145,0,30/06/2017
RA7,145,0,30/06/2017
RA9,145,0,30/06/2017
RBA,145,0,30/06/2017
RBD,145,0,30/06/2017
RBZ,145,2.32967,30/06/2017
RD1,145,0,30/06/2017
RD3,145,0,30/06/2017
RDR,145,0,30/06/2017
RDU,145,0.945055,30/06/2017
RDY,145,0,30/06/2017
RDZ,145,0,30/06/2017
REF,145,0,30/06/2017
RH5,145,0,30/06/2017
RH8,145,0,30/06/2017
RVN,145,0,30/06/2017
RHM,145,0,30/06/2017
RHU,145,0,30/06/2017
RHW,145,0,30/06/2017
RJ8,145,0,30/06/2017
RK9,145,1.681319,30/06/2017
RN3,145,0,30/06/2017
RN5,145,0,30/06/2017
RN7,145,0,30/06/2017
RNU,145,0,30/06/2017
RNZ,145,0,30/06/2017
RPA,145,0,30/06/2017
RPC,145,3.615385,30/06/2017
RTE,145,0,30/06/2017
RTH,145,8.538462,30/06/2017
RTK,145,1.164835,30/06/2017
RTP,145,0,30/06/2017
RTQ,145,0,30/06/2017
RVJ,145,0,30/06/2017
RVV,145,0,30/06/2017
RW1,145,0,30/06/2017
RWF,145,0,30/06/2017
RWV,145,0,30/06/2017
RWX,145,0,30/06/2017
RX2,145,0,30/06/2017
RXC,145,2.67033,30/06/2017
RXH,145,0,30/06/2017
RXQ,145,0,30/06/2017
RXX,145,0,30/06/2017
RXY,145,0,30/06/2017
RYR,145,0,30/06/2017
RAE,146,0,30/06/2017
RBL,146,0,30/06/2017
RBN,146,0,30/06/2017
RBQ,146,0,30/06/2017
RBS,146,0,30/06/2017
RBT,146,0,30/06/2017
RBV,146,0,30/06/2017
RCB,146,0,30/06/2017
RCD,146,0,30/06/2017
RCF,146,0,30/06/2017
RCU,146,0,30/06/2017
RE9,146,0,30/06/2017
REM,146,0,30/06/2017
REF,315,0,30/06/2017
RH5,315,0,30/06/2017
RH8,315,0,30/06/2017
RVN,315,0,30/06/2017
RHM,315,0,30/06/2017
RHU,315,0,30/06/2017
RHW,315,0,30/06/2017
RJ8,315,0,30/06/2017
RK9,315,0,30/06/2017
RN3,315,0,30/06/2017
RN5,315,0,30/06/2017
RN7,315,0,30/06/2017
RNU,315,0,30/06/2017
RNZ,315,0.021978,30/06/2017
RPA,315,0,30/06/2017
RPC,315,0,30/06/2017
RTE,315,0.021978,30/06/2017
RTH,315,0,30/06/2017
RTK,315,0,30/06/2017
RTP,315,0,30/06/2017
RTQ,315,0,30/06/2017
RVJ,315,0,30/06/2017
RVV,315,0,30/06/2017
RW1,315,0,30/06/2017
RWF,315,0,30/06/2017
RWV,315,0,30/06/2017
RWX,315,0,30/06/2017
RX2,315,0,30/06/2017
RXC,315,0,30/06/2017
RXH,315,0,30/06/2017
RXQ,315,0,30/06/2017
RXX,315,0,30/06/2017
RXY,315,0,30/06/2017
RYR,315,0,30/06/2017
RAE,320,0.010989,30/06/2017
RBL,320,2.285714,30/06/2017
RBN,320,0,30/06/2017
RBQ,320,13.362637,30/06/2017
RBS,320,0,30/06/2017
RBT,320,0.10989,30/06/2017
RBV,320,0,30/06/2017
RCB,320,4.21978,30/06/2017
RCD,320,0.186813,30/06/2017
RCF,320,2.78022,30/06/2017
RCU,320,0,30/06/2017
RE9,320,0,30/06/2017
REM,320,10.934066,30/06/2017
REN,320,0,30/06/2017
REP,320,0,30/06/2017
RET,320,0,30/06/2017
RFF,320,3.241758,30/06/2017
RFR,320,1.208791,30/06/2017
RGD,320,0,30/06/2017
RHQ,320,4.285714,30/06/2017
RJL,320,0.747253,30/06/2017
RJN,320,0.340659,30/06/2017
RJR,320,0.010989,30/06/2017
RLN,320,0,30/06/2017
RM2,320,4.197802,30/06/2017
RM3,320,0,30/06/2017
RMC,320,0,30/06/2017
RMP,320,0.703297,30/06/2017
RNL,320,3.340659,30/06/2017
RNN,320,0,30/06/2017
RP5,320,2.340659,30/06/2017
RQ6,320,2.725275,30/06/2017
RR7,320,1.56044,30/06/2017
RR8,320,0,30/06/2017
RRF,320,4.087912,30/06/2017
RT2,320,0,30/06/2017
RTD,320,0,30/06/2017
RTF,320,1.879121,30/06/2017
RTR,320,3.252747,30/06/2017
RTV,320,0,30/06/2017
RTX,320,2.824176,30/06/2017
RV9,320,0,30/06/2017
RVW,320,2.362637,30/06/2017
RVY,320,0,30/06/2017
RW3,320,2.505495,30/06/2017
RW4,320,0,30/06/2017
RW5,320,0,30/06/2017
RW6,320,6.351648,30/06/2017
RWA,320,0.010989,30/06/2017
RWJ,320,1.274725,30/06/2017
RWW,320,6.703297,30/06/2017
RWY,320,1.615385,30/06/2017
RX3,320,0,30/06/2017
RX4,320,0,30/06/2017
RXA,320,0,30/06/2017
RXE,320,0,30/06/2017
RXF,320,3.406593,30/06/2017
RXG,320,0,30/06/2017
RXL,320,7.032967,30/06/2017
RXN,320,2.43956,30/06/2017
RXP,320,3.604396,30/06/2017
RXR,320,4.494505,30/06/2017
RY6,320,0,30/06/2017
TAD,320,0,30/06/2017
TAH,320,0,30/06/2017
R1A,320,0,30/06/2017
R1E,320,0,30/06/2017
R1L,320,0,30/06/2017
RAJ,320,3.967033,30/06/2017
RBK,320,2.21978,30/06/2017
RC1,320,3.582418,30/06/2017
RC9,320,2.604396,30/06/2017
RCX,320,0.296703,30/06/2017
RD8,320,2.538462,30/06/2017
RDD,320,8.395604,30/06/2017
RDE,320,2.736264,30/06/2017
RFS,320,0,30/06/2017
RGM,320,12.901099,30/06/2017
RYV,311,0,30/06/2017
RYW,311,0,30/06/2017
TAJ,311,0,30/06/2017
R1H,311,0,30/06/2017
R1K,311,0,30/06/2017
RAL,311,0,30/06/2017
RAN,311,0,30/06/2017
RAP,311,0,30/06/2017
RAS,311,0,30/06/2017
RAT,311,0,30/06/2017
RAX,311,0,30/06/2017
RF4,311,0,30/06/2017
RJ1,311,0,30/06/2017
RJ2,311,0,30/06/2017
RJ6,311,0,30/06/2017
RJ7,311,0,30/06/2017
RJZ,311,0,30/06/2017
RKE,311,0,30/06/2017
RKL,311,0,30/06/2017
RP4,311,0.010989,30/06/2017
RP6,311,0,30/06/2017
RPG,311,0,30/06/2017
RPY,311,0.098901,30/06/2017
RQM,311,0,30/06/2017
RQX,311,0,30/06/2017
RQY,311,0,30/06/2017
RTH,143,0,30/06/2017
RTK,143,0,30/06/2017
RTP,143,0,30/06/2017
RTQ,143,0,30/06/2017
RVJ,143,0,30/06/2017
RVV,143,0,30/06/2017
RW1,143,0,30/06/2017
RWF,143,0,30/06/2017
RWV,143,0,30/06/2017
RWX,143,0,30/06/2017
RX2,143,0,30/06/2017
RXC,143,0,30/06/2017
RXH,143,0,30/06/2017
RXQ,143,0,30/06/2017
RXX,143,0,30/06/2017
RXY,143,0,30/06/2017
RYR,143,0,30/06/2017
RWX,830,0,30/06/2017
RX2,830,0,30/06/2017
RXC,830,0,30/06/2017
RXH,830,0,30/06/2017
RXQ,830,0,30/06/2017
RXX,830,0,30/06/2017
RXY,830,0,30/06/2017
RYR,830,0,30/06/2017
RAE,831,0,30/06/2017
RBL,831,0,30/06/2017
RBN,831,0,30/06/2017
RBQ,831,0,30/06/2017
RBS,831,0,30/06/2017
RBT,831,0,30/06/2017
RBV,831,0,30/06/2017
RCB,831,0,30/06/2017
RCD,831,0,30/06/2017
RCF,831,0,30/06/2017
RCU,831,0,30/06/2017
RE9,831,0,30/06/2017
REM,831,0,30/06/2017
REN,831,0,30/06/2017
REP,831,0,30/06/2017
RET,831,0,30/06/2017
RFF,831,0,30/06/2017
RFR,831,0,30/06/2017
RGD,831,0,30/06/2017
RHQ,831,0,30/06/2017
RJL,831,0,30/06/2017
RJN,831,0,30/06/2017
RJR,831,0,30/06/2017
RLN,831,0,30/06/2017
RM2,831,0,30/06/2017
RM3,831,0,30/06/2017
RMC,831,0,30/06/2017
RMP,831,0,30/06/2017
RNL,831,0,30/06/2017
RNN,831,0,30/06/2017
RP5,831,0,30/06/2017
RQ6,831,0,30/06/2017
RR7,831,0,30/06/2017
RR8,831,0,30/06/2017
RRF,831,0,30/06/2017
RT2,831,0,30/06/2017
RTD,831,0,30/06/2017
RTF,831,0,30/06/2017
RTR,831,0,30/06/2017
RTV,831,0,30/06/2017
RTX,831,0,30/06/2017
RV9,831,0,30/06/2017
RVW,831,0,30/06/2017
RVY,831,0,30/06/2017
RW3,831,0,30/06/2017
RW4,831,0,30/06/2017
RW5,831,0,30/06/2017
RW6,831,0,30/06/2017
RWA,831,0,30/06/2017
RWJ,831,0,30/06/2017
RWW,831,0,30/06/2017
RWY,831,0,30/06/2017
RX3,831,0,30/06/2017
RX4,831,0,30/06/2017
RXA,831,0,30/06/2017
RXE,831,0,30/06/2017
RXF,831,0,30/06/2017
RXG,831,0,30/06/2017
RXL,831,0,30/06/2017
RXN,831,0,30/06/2017
RXP,831,0,30/06/2017
RXR,831,0,30/06/2017
RY6,831,0,30/06/2017
TAD,831,0,30/06/2017
TAH,831,0,30/06/2017
R1A,831,0,30/06/2017
R1E,831,0,30/06/2017
R1L,831,0,30/06/2017
RAJ,831,0,30/06/2017
RBK,831,0,30/06/2017
RC1,831,0,30/06/2017
RC9,831,0,30/06/2017
RCX,831,0,30/06/2017
RD8,831,0,30/06/2017
RDD,831,0,30/06/2017
RDE,831,0,30/06/2017
RFS,831,0,30/06/2017
RGM,831,0,30/06/2017
RGN,831,0,30/06/2017
RGP,831,0,30/06/2017
RGQ,831,0,30/06/2017
RGR,831,0,30/06/2017
RGT,831,0,30/06/2017
RHA,831,0,30/06/2017
RJC,831,0,30/06/2017
RJE,831,0,30/06/2017
RJF,831,0,30/06/2017
RK5,831,0,30/06/2017
RKB,831,0,30/06/2017
RL1,831,0,30/06/2017
RL4,831,0,30/06/2017
RLQ,831,0,30/06/2017
RLT,831,0,30/06/2017
RLY,831,0,30/06/2017
RM1,831,0,30/06/2017
RMY,831,0,30/06/2017
RNA,831,0,30/06/2017
RNQ,831,0,30/06/2017
RNS,831,0,30/06/2017
RP1,831,0,30/06/2017
RP7,831,0,30/06/2017
RQ3,831,0,30/06/2017
RQ8,831,0,30/06/2017
RQW,831,0,30/06/2017
RTV,120,0,30/06/2017
RTX,120,3.021978,30/06/2017
RV9,120,0,30/06/2017
RVW,120,0,30/06/2017
RVY,120,0.142857,30/06/2017
RW3,120,4.758242,30/06/2017
RW4,120,0,30/06/2017
RW5,120,0,30/06/2017
RW6,120,3.879121,30/06/2017
RWA,120,3.43956,30/06/2017
RWJ,120,1.010989,30/06/2017
RWW,120,0,30/06/2017
RWY,120,1.703297,30/06/2017
RX3,120,0,30/06/2017
RX4,120,0,30/06/2017
RXA,120,0,30/06/2017
RXE,120,0,30/06/2017
RXF,120,4.67033,30/06/2017
RXG,120,0,30/06/2017
RXL,120,3.945055,30/06/2017
RXN,120,1.604396,30/06/2017
RXP,120,2.758242,30/06/2017
RXR,120,4.89011,30/06/2017
RY6,120,0,30/06/2017
TAD,120,0,30/06/2017
TAH,120,0,30/06/2017
R1A,120,0,30/06/2017
R1E,120,0,30/06/2017
R1L,120,0,30/06/2017
RAJ,120,1.604396,30/06/2017
RBK,120,0.604396,30/06/2017
RC1,120,0.879121,30/06/2017
RC9,120,2.802198,30/06/2017
RCX,120,0.43956,30/06/2017
RD8,120,2.32967,30/06/2017
RDD,120,2.296703,30/06/2017
RDE,120,2.692308,30/06/2017
RFS,120,0,30/06/2017
RGM,120,0,30/06/2017
RGN,120,2.945055,30/06/2017
RGP,120,1.494505,30/06/2017
RGQ,120,1.791209,30/06/2017
RGR,120,0,30/06/2017
RGT,120,5,30/06/2017
RHA,120,0,30/06/2017
RJC,120,0,30/06/2017
